code,parent,title
MKP_VOLLEYBALL_ACCESS,MKP_VOLLEYBALL,Accessoires volley 
MKP_VOLLEYBALL_PG,MKP_VOLLEYBALL,Protections volleyball 
MKP_HANDBALL,MKP_TEAM_SPORTS,Handball
MKP_HANDBALL_CLOTHING,MKP_HANDBALL,Vêtements Handball 
MKP_HANDBALL_BAGS_LUGAGE,MKP_HANDBALL,"Sacs, Bagagerie Handball "
MKP_HANDBALL_SHOES,MKP_HANDBALL,Chaussures Handball 
MKP_HANDBALL_PG,MKP_HANDBALL,Protections Handball 
MKP_HANDBALL_ACCESS,MKP_HANDBALL,Accessoires handball 
MKP_HANDBALL_BALLS,MKP_HANDBALL,Ballons de handball 
MKP_RACQUET_SPORTS,MKP_SPORTS_AND_RECREATION,Sports de raquette 
MKP_TENNIS,MKP_RACQUET_SPORTS,Tennis
MKP_TENNIS_RACQUET,MKP_TENNIS,Raquettes de tennis 
MKP_TENNIS_BAGS_LUGAGE,MKP_TENNIS,"Sacs, Bagagerie Tennis "
MKP_TENNIS_SHOES,MKP_TENNIS,Chaussures de Tennis 
MKP_TENNIS_CLOTHING,MKP_TENNIS,Vêtements de Tennis 
MKP_TENNIS_NUTRITION,MKP_TENNIS,Nutrition du tennisman 
MKP_TENNIS_ACCESS,MKP_TENNIS,Accessoires de Tennis 
MKP_TENNIS_BALL,MKP_TENNIS,Balles de tennis 
MKP_TENNIS_GRIPS,MKP_TENNIS,Cordages et grips 
MKP_BADMINTON,MKP_RACQUET_SPORTS,Badminton
MKP_BADMINTON_RACQUETS,MKP_BADMINTON,Raquettes Badminton 
MKP_BADMINTON_BAGS_LUGAGE,MKP_BADMINTON,"Sacs, Bagagerie Badminton "
MKP_BADMINTON_CLOTHING,MKP_BADMINTON,Vêtements Badminton 
MKP_BADMINTON_SHOES,MKP_BADMINTON,ChaussuresBadminton 
MKP_BADMINTON_ACESS,MKP_BADMINTON,Accessoires Badminton 
MKP_BADMINTON_GRIPS,MKP_BADMINTON,Cordages et grips Badminton 
MKP_BADMINTON_SHUTTLECOCKS,MKP_BADMINTON,Volants Badminton 
MKP_TABLE_TENNIS,MKP_RACQUET_SPORTS,Ping Pong
MKP_TABLE_TENNIS_SHOES,MKP_TABLE_TENNIS,Chaussures Ping Pong
MKP_TABLE_TENNIS_CLOTHING,MKP_TABLE_TENNIS,Vêtements Ping Pong
MKP_TABLE_TENNIS_BALL,MKP_TABLE_TENNIS,Balles de Ping Pong
MKP_TABLE_TENNIS_RACQUETS,MKP_TABLE_TENNIS,Raquettes de Ping-Pong 
MKP_TABLE_TENNIS_TABLE,MKP_TABLE_TENNIS,Tables de Ping Pong
MKP_TABLE_TENNIS_ACCESS,MKP_TABLE_TENNIS,Accessoires Ping Pong
MKP_SQUASH,MKP_RACQUET_SPORTS,Squash
MKP_SQUASH_RACQUET,MKP_SQUASH,Raquettes de squash 
MKP_SQUASH_CLOTHING,MKP_SQUASH,Vêtements Squash 
MKP_SQUASH_BALL,MKP_SQUASH,Balles de squash 
MKP_SQUASH_GRIP,MKP_SQUASH,Cordages et grips Squash 
MKP_SQUASH_SAFETY_GLASSES,MKP_SQUASH,Lunettes de protection Squash 
MKP_WATER_SPORTS,MKP_SPORTS_AND_RECREATION,Sports d'eau 
MKP_SWIMMING,MKP_WATER_SPORTS,"Natation, Piscine "
MKP_SWIMMING_SWIMINGSUIT,MKP_SWIMMING,"Maillots de natation, piscine "
MKP_SWIMMING_ACCESS,MKP_SWIMMING,Accessoires natation 
MKP_SWIMMING_EQPT,MKP_SWIMMING,"Équipement natation, piscine "
MKP_SWIMMING_NUTRITION,MKP_SWIMMING,Nutrition du nageur 
MKP_SWIMMING_SAFETY,MKP_SWIMMING,Protections et soins du nageur 
MKP_SWIMMING_TRIATHLON_EQPT,MKP_SWIMMING,Equipement Triathlon 
MKP_SWIMMING_KIDS_GEAR,MKP_SWIMMING,Eveil aquatique 
MKP_DIVING,MKP_WATER_SPORTS,"Plongée, Snorkeling "
MKP_DIVING_SCUBADIVING,MKP_DIVING,Plongée bouteille 
MKP_DIVING_SNORKELLING,MKP_DIVING,"Snorkelling, Randonnée aquatique "
MKP_DIVING_SPEARFISHING,MKP_DIVING,Chasse sous-marine 
MKP_CANOE_KAYAK,MKP_WATER_SPORTS,"Kayak,Paddle "
MKP_CANOE_KAYAK_KAYAK,MKP_CANOE_KAYAK,Kayak
MKP_CANOE_KAYAK_CLOTHING,MKP_CANOE_KAYAK,Vêtements bateau 
MKP_CANOE_KAYAK_SUP_EQPT,MKP_CANOE_KAYAK,Equipement Stand Up Paddle 
MKP_CANOE_KAYAK_ACCESS,MKP_CANOE_KAYAK,"Accessoires Kayak, Bateau "
MKP_FISHING,MKP_WATER_SPORTS,Pêche 
MKP_FISHING_FISHERMAN_EQPT,MKP_FISHING,Équipement du pêcheur 
MKP_FISHING_RODS_REELS,MKP_FISHING,Cannes et moulinets 
MKP_FISHING_LURES_FINDERS_BAITS,MKP_FISHING,"Leurres, Appâts et accessoires "
MKP_WATER_SKIING_WAKEBOARD,MKP_WATER_SPORTS,Ski nautique
MKP_WAKEBOARD_WATERSKIS,MKP_WATER_SKIING_WAKEBOARD,"Planche Wakeboard, Skis"
MKP_WATER_SKIING_LIFEJACKET,MKP_WATER_SKIING_WAKEBOARD,Gilets de flotaison 
MKP_WATER_HELMET,MKP_WATER_SKIING_WAKEBOARD,Casques ski nautique 
MKP_WATERSKIING_ACCESS,MKP_WATER_SKIING_WAKEBOARD,Accessoires sports tractés 
MKP_WATERSKIING_TOWABLE,MKP_WATER_SKIING_WAKEBOARD,Bouées tractées 
MKP_RUNNING_ATHLETICS,MKP_SPORTS_AND_RECREATION,"Running, Athlétisme "
MKP_RUNNING,MKP_RUNNING_ATHLETICS,Running
MKP_RUNNING_NUTRITION,MKP_RUNNING,Nutrition pour Athlètes 
MKP_RUNNING_CLOTHING,MKP_RUNNING,"Vêtements, textiles running "
MKP_RUNNING_UNDERWEAR,MKP_RUNNING,Sous-Vêtements running 
MKP_RUNNING_SHOES,MKP_RUNNING,Chaussures Running 
MKP_RUNNING_BAGS_LUGAGE,MKP_RUNNING,"Sacs, Bagagerie "
MKP_RUNNING_ACCESS,MKP_RUNNING,Accessoires running 
MKP_RUNNING_MEASUREMENT,MKP_RUNNING,"Mesure, performance "
MKP_HICKING,MKP_OUTDOOR,Randonnée 
MKP_HICKING_CLOTHING,MKP_HICKING,Vêtements de randonnée 
MKP_HICKING_SHOES,MKP_HICKING,Chaussures de randonnée 
MKP_HICKING_TENTS,MKP_HICKING,Tentes 
MKP_HICKING_SLEEPING_BAGS,MKP_HICKING,Sacs de couchage randonnée 
MKP_HICKING_HICKINGPOLE,MKP_HICKING,Batons de randonnée 
MKP_HICKING_KNIVES_TOOLS,MKP_HICKING,Couteaux et outils 
MKP_HICKING_BAGS_BACKPACKS,MKP_HICKING,Sacs et sacs à dos 
MKP_HICKING_SAFETY_SURVIVAL_GEAR,MKP_HICKING,Sécurité et survie 
MKP_HICKING_ELECTRONICS,MKP_HICKING,Electronique et Connecté Randonnée
MKP_HICKING_ACCESS,MKP_HICKING,Accessoires randonnée 
MKP_CAMPING,MKP_OUTDOOR,Camping
MKP_CAMPING_ACCESS,MKP_CAMPING,Accessoires camping 
MKP_CAMPING_TENTS,MKP_CAMPING,Tentes 
MKP_SLEEPING_EQPT,MKP_CAMPING,Couchage 
MKP_CAMPING_EQPT,MKP_CAMPING,Matériel de camping 
MKP_FIT_FITNESS_STRENGTH_TRAINING,MKP_SPORTS_AND_RECREATION,"Fitness, Musculation "
MKP_YOGA,MKP_FIT_FITNESS_STRENGTH_TRAINING,Yoga
MKP_YOGA_CLOTHING,MKP_YOGA,Vêtement Yoga 
MKP_YOGA_FITNESS_MATS,MKP_YOGA,Tapis de fitness 
MKP_SURFING_LONGBOARDGING,MKP_WATER_SPORTS,"Surf, Longboard "
MKP_SURFING_LONGBOARDS,MKP_SURFING_LONGBOARDGING,"Planches de surf, longboard "
MKP_SURFING_SURFING_EQPT,MKP_SURFING_LONGBOARDGING,"Équipement surf, longboard "
